EmployeeID,Age,Gender,Ethnicity,Department,JobTitle,PerformanceScore,TenureYears,DisabilityStatus,VeteranStatus,Location,LGBTStatus,Promotion,InclusionProgramParticipant,Salary
10042,32,Female,Black,Engineering,Analyst,1,1.9,No,No,Los Angeles,Yes,No,Yes,217225
10043,60,Female,Asian,Finance,Analyst,5,13.9,No,Yes,Austin,Yes,Yes,No,267977
10044,49,Female,Hispanic,Sales,Analyst,5,16.3,No,Yes,Austin,No,No,No,140183
10045,64,Male,Black,Sales,Engineer,4,6.7,No,No,Los Angeles,Yes,No,No,88555
10046,60,Female,White,Marketing,Analyst,4,2.7,Yes,Yes,Austin,No,Yes,No,144411
10047,37,Male,Indian,Sales,Leadership,4,7.7,Yes,No,Atlanta,Yes,No,Yes,115566
10048,30,Male,Black,Engineering,Manager,1,14.6,Yes,No,Los Angeles,No,No,Yes,243327
10049,62,Female,Asian,Finance,Specialist,1,6.8,Yes,No,New York,Yes,Yes,No,250553
10050,40,Female,Hispanic,Legal,Manager,5,10.6,Yes,Yes,Austin,Yes,Yes,No,171651
10051,61,Male,Black,Sales,Specialist,1,1.5,No,No,Austin,Yes,Yes,No,163619
10052,58,Female,White,HR,Analyst,2,8.6,Yes,Yes,Atlanta,Yes,Yes,Yes,256862
10053,22,Male,Indian,Marketing,Leadership,2,2.3,No,Yes,Los Angeles,No,Yes,No,172361
10054,54,Female,White,Sales,Engineer,1,7.2,Yes,Yes,Chicago,No,No,Yes,98424
10055,57,Male,White,Finance,Leadership,5,6.0,Yes,Yes,New York,Yes,Yes,Yes,206791
10056,34,Male,Black,Marketing,Manager,5,17.6,Yes,Yes,Houston,No,Yes,Yes,254789
10057,28,Female,Black,Sales,Analyst,5,5.0,No,No,Atlanta,No,No,No,219112
10058,45,Female,White,Finance,Manager,2,7.6,Yes,Yes,Houston,No,Yes,Yes,106951
10059,50,Male,White,Finance,Analyst,2,1.2,No,Yes,Los Angeles,Yes,No,No,136999
10060,25,Male,Hispanic,Marketing,Analyst,3,17.1,No,No,Los Angeles,Yes,Yes,No,246345
10061,37,Male,White,HR,Engineer,2,12.9,Yes,Yes,New York,Yes,No,No,105155
10062,30,Male,Hispanic,HR,Analyst,4,19.4,Yes,No,Atlanta,No,No,Yes,177438
10063,55,Female,White,Sales,Specialist,3,8.8,Yes,No,Houston,Yes,Yes,No,189909
10064,44,Female,Black,Finance,Specialist,3,12.6,Yes,No,Houston,No,Yes,Yes,202811
10065,64,Female,Asian,Finance,Specialist,3,6.4,Yes,No,Houston,No,No,No,149775
10066,53,Female,Hispanic,Engineering,Leadership,3,7.7,No,No,New York,Yes,No,Yes,269933
10067,26,Female,Asian,Finance,Manager,3,3.4,No,Yes,Houston,No,Yes,No,169477
10068,30,Female,Asian,Marketing,Analyst,2,8.5,Yes,No,Atlanta,Yes,No,Yes,119027
10069,55,Male,Black,Engineering,Analyst,4,1.8,No,Yes,Los Angeles,No,No,No,246632
10070,47,Male,Black,HR,Manager,5,16.2,Yes,Yes,New York,Yes,No,No,162673
10071,36,Male,White,Legal,Specialist,4,16.8,Yes,No,Los Angeles,No,Yes,Yes,238336
10072,45,Female,Black,HR,Analyst,5,15.9,Yes,No,Houston,Yes,Yes,No,97544
10073,54,Male,White,Sales,Analyst,2,7.8,No,No,Houston,Yes,No,No,259840
10074,33,Male,Hispanic,HR,Manager,4,7.7,No,No,New York,Yes,No,No,270928
10075,23,Female,Black,HR,Manager,3,13.2,Yes,Yes,Los Angeles,No,Yes,No,125653
10076,38,Female,White,Legal,Engineer,4,17.4,Yes,Yes,Houston,Yes,Yes,Yes,271543
10077,62,Female,Black,Legal,Leadership,4,11.4,Yes,No,Atlanta,No,Yes,No,132733
10078,28,Female,White,HR,Engineer,4,8.9,No,Yes,Chicago,No,No,Yes,144560
10079,37,Female,White,HR,Specialist,2,19.8,Yes,Yes,New York,No,Yes,Yes,161105
10080,55,Male,Indian,Sales,Manager,4,9.8,Yes,No,Chicago,No,Yes,No,201737
10081,46,Male,Indian,Marketing,Leadership,4,20.0,Yes,Yes,Los Angeles,No,Yes,No,165344
10082,35,Female,Hispanic,HR,Analyst,2,18.2,No,No,Los Angeles,No,Yes,No,112551
10083,30,Male,Hispanic,Sales,Manager,4,3.1,No,Yes,Houston,No,Yes,Yes,178327
10084,50,Female,White,Legal,Analyst,5,1.1,No,Yes,Chicago,Yes,No,No,201544
10085,31,Male,Indian,Sales,Analyst,3,15.0,Yes,No,Austin,No,No,No,269994
10086,49,Female,Indian,Finance,Engineer,2,7.1,No,No,Atlanta,No,Yes,No,166033
10087,22,Female,Black,Sales,Specialist,5,7.5,No,Yes,New York,No,No,Yes,236359
10088,62,Male,White,Marketing,Analyst,5,12.5,Yes,No,Austin,Yes,Yes,No,159621
10089,25,Male,White,Finance,Engineer,1,8.6,No,No,Los Angeles,No,No,Yes,242349
10090,30,Female,Indian,HR,Manager,1,14.5,Yes,Yes,Austin,No,Yes,No,201062
10091,59,Male,Indian,Marketing,Analyst,4,16.0,Yes,No,Chicago,No,Yes,Yes,264581
10092,49,Male,Asian,HR,Specialist,5,15.2,Yes,No,New York,No,Yes,Yes,224287
10093,40,Female,Hispanic,Sales,Engineer,3,7.2,No,No,Los Angeles,Yes,No,Yes,265791
10094,51,Female,Asian,Sales,Specialist,1,5.8,No,No,New York,Yes,Yes,No,230231
10095,41,Male,White,HR,Engineer,3,3.3,Yes,Yes,Los Angeles,Yes,Yes,Yes,103361
10096,36,Female,Black,Sales,Manager,5,11.1,Yes,No,Austin,Yes,No,No,190094
10097,49,Female,Indian,Engineering,Analyst,1,15.9,No,No,Houston,No,Yes,Yes,204944
10098,59,Female,Hispanic,Sales,Manager,5,19.2,Yes,No,Austin,No,Yes,Yes,129396
10099,36,Female,Indian,Engineering,Specialist,5,13.1,No,Yes,Chicago,No,No,No,185882
10100,33,Female,Black,Legal,Specialist,2,3.7,Yes,Yes,Austin,Yes,No,Yes,221107
10101,25,Female,Hispanic,Finance,Analyst,5,18.7,Yes,No,Houston,No,Yes,Yes,235084
10102,40,Male,Black,Legal,Manager,2,11.9,No,Yes,New York,No,No,No,128493
10103,39,Male,Black,Legal,Specialist,3,16.2,Yes,Yes,Chicago,No,Yes,No,262782
10104,56,Male,Hispanic,Marketing,Manager,3,19.2,Yes,No,Chicago,Yes,Yes,No,250804
10105,55,Female,Asian,Legal,Specialist,4,15.6,Yes,No,Austin,No,Yes,No,174275
10106,44,Female,Hispanic,Finance,Leadership,3,16.1,No,No,Houston,Yes,No,No,235525
10107,40,Male,Indian,Sales,Engineer,4,1.0,No,Yes,Chicago,Yes,No,No,257111
10108,55,Male,Indian,Sales,Leadership,1,19.5,No,No,Atlanta,No,No,No,176438
10109,57,Female,Hispanic,Marketing,Leadership,3,4.5,No,Yes,Chicago,No,No,Yes,220198
10110,22,Male,Asian,Legal,Engineer,5,7.3,No,Yes,Houston,Yes,Yes,No,208268
10111,34,Male,Black,Finance,Engineer,2,12.5,No,No,Houston,Yes,No,No,213494
10112,32,Female,Black,Marketing,Specialist,1,12.4,Yes,No,Chicago,Yes,Yes,No,213887
10113,52,Female,Indian,Legal,Leadership,1,3.8,Yes,Yes,Chicago,No,Yes,No,242865
10114,47,Female,Indian,Engineering,Manager,4,8.8,No,Yes,Atlanta,Yes,Yes,Yes,199337
10115,27,Male,White,HR,Manager,2,8.5,Yes,No,Austin,No,Yes,Yes,131465
10116,63,Female,Black,Engineering,Engineer,3,4.2,No,Yes,New York,Yes,No,Yes,146378
10117,25,Male,White,Finance,Leadership,1,7.0,No,Yes,Los Angeles,Yes,Yes,Yes,218332
10118,37,Female,Asian,Sales,Specialist,1,18.6,Yes,No,Houston,Yes,Yes,No,259211
10119,27,Male,Hispanic,HR,Engineer,1,6.3,Yes,No,Austin,No,No,No,143031
10120,53,Male,Black,Marketing,Manager,5,17.8,Yes,Yes,New York,No,Yes,Yes,95942
10121,33,Female,Indian,HR,Specialist,1,4.8,No,No,Chicago,No,No,No,95826
10122,53,Female,Black,HR,Manager,4,13.6,No,No,Houston,Yes,Yes,Yes,170680
10123,47,Male,Indian,Legal,Specialist,4,1.3,Yes,No,Chicago,No,No,Yes,137091
10124,63,Male,White,Marketing,Leadership,3,10.2,Yes,No,Houston,No,No,No,112330
10125,55,Male,Asian,Finance,Leadership,3,12.7,No,No,Atlanta,No,No,No,197051
10126,34,Male,Black,Sales,Manager,3,0.6,Yes,Yes,Houston,No,Yes,No,199608
10127,60,Male,Black,Marketing,Specialist,5,16.1,Yes,Yes,Chicago,Yes,Yes,Yes,157202
10128,46,Female,Black,Finance,Engineer,5,17.1,No,Yes,New York,No,Yes,Yes,191396
10129,43,Male,Black,Sales,Leadership,4,4.7,No,No,Los Angeles,No,No,Yes,129707
10130,22,Male,Indian,Marketing,Specialist,5,9.0,No,No,Chicago,Yes,Yes,No,210517
10131,34,Female,Black,HR,Manager,3,3.8,Yes,Yes,Houston,No,Yes,Yes,244411
10132,43,Male,Asian,HR,Engineer,3,19.4,No,Yes,New York,Yes,No,Yes,171772
10133,64,Female,Asian,Finance,Analyst,4,9.5,Yes,Yes,Houston,No,Yes,Yes,141096
10134,63,Female,Asian,Marketing,Manager,4,14.0,No,Yes,Houston,No,Yes,No,284668
10135,28,Male,Black,Legal,Analyst,2,8.9,No,No,Chicago,Yes,Yes,Yes,253586
10136,44,Male,Hispanic,HR,Leadership,3,7.2,No,No,Atlanta,Yes,No,Yes,88128
10137,61,Female,Hispanic,HR,Engineer,1,8.2,No,Yes,Houston,No,Yes,No,165439
10138,38,Female,Hispanic,Finance,Specialist,3,5.2,Yes,Yes,Austin,No,No,No,182798
10139,33,Male,Black,Sales,Leadership,4,11.3,Yes,No,Atlanta,No,Yes,No,98840
10140,54,Female,Asian,Legal,Manager,2,7.1,No,Yes,New York,Yes,No,Yes,223781
10141,26,Male,Black,HR,Manager,5,11.3,No,No,Chicago,Yes,No,No,143765
10142,55,Female,Hispanic,Marketing,Leadership,4,18.8,Yes,No,Chicago,Yes,Yes,Yes,161653
10143,44,Male,Hispanic,Legal,Analyst,5,8.2,Yes,Yes,Houston,Yes,Yes,Yes,244003
10144,32,Male,Indian,Finance,Manager,3,14.1,Yes,No,New York,No,No,No,264598
10145,53,Male,Hispanic,Finance,Specialist,2,4.7,Yes,Yes,Houston,Yes,Yes,Yes,146713
10146,58,Male,Hispanic,Marketing,Specialist,5,7.6,Yes,No,New York,No,Yes,No,134240
10147,62,Male,Indian,Legal,Manager,3,15.2,No,Yes,New York,No,No,No,126630
10148,53,Female,Black,HR,Manager,5,13.1,Yes,Yes,Chicago,Yes,No,Yes,203992
10149,43,Female,Asian,Engineering,Analyst,3,2.5,No,Yes,Houston,No,Yes,Yes,185067
10150,50,Male,Asian,Finance,Specialist,4,17.7,Yes,No,Austin,No,Yes,No,240671
10151,42,Male,Black,Finance,Specialist,2,7.6,No,No,Austin,Yes,No,Yes,272904
10152,24,Male,Black,Finance,Specialist,1,1.8,Yes,No,Chicago,Yes,Yes,No,251059
10153,26,Male,Black,Finance,Leadership,4,13.0,No,Yes,Atlanta,Yes,No,No,117097
10154,46,Male,Black,Finance,Analyst,2,14.2,Yes,Yes,Chicago,No,Yes,Yes,235627
10155,25,Female,Asian,Marketing,Manager,1,3.2,No,No,Los Angeles,Yes,No,No,218876
10156,64,Male,Asian,Engineering,Engineer,2,2.6,Yes,No,Houston,Yes,No,Yes,242964
10157,57,Male,Indian,Legal,Analyst,5,19.2,Yes,Yes,New York,No,Yes,No,268197
10158,60,Male,White,Legal,Manager,2,11.5,Yes,No,New York,Yes,Yes,No,102868
10159,64,Female,Indian,Marketing,Specialist,1,7.8,No,No,Austin,No,Yes,No,180587
10160,64,Female,Hispanic,Engineering,Engineer,4,10.8,Yes,No,Atlanta,Yes,Yes,No,135967
10161,44,Male,Asian,Finance,Analyst,2,1.4,No,Yes,Los Angeles,No,Yes,No,241654
10162,49,Female,Hispanic,HR,Leadership,2,14.6,Yes,Yes,New York,No,No,Yes,204651
10163,25,Female,Hispanic,Legal,Engineer,4,16.5,Yes,Yes,Chicago,Yes,Yes,Yes,166540
10164,25,Female,Indian,Finance,Leadership,2,17.1,Yes,Yes,Austin,Yes,No,No,155846
10165,27,Female,Hispanic,Legal,Manager,2,15.3,No,No,Houston,No,Yes,No,179092
10166,33,Female,White,Sales,Analyst,2,19.1,No,No,Chicago,Yes,Yes,No,153590
10167,34,Female,Asian,Legal,Analyst,1,9.4,Yes,No,Chicago,No,No,Yes,197548
10168,37,Male,Black,Finance,Engineer,2,19.4,Yes,Yes,Houston,Yes,Yes,No,203937
10169,47,Female,Asian,Engineering,Leadership,2,14.4,No,No,Houston,Yes,Yes,No,206567
10170,41,Male,Black,Legal,Engineer,2,19.5,No,Yes,Houston,No,Yes,No,176751
10171,44,Female,Hispanic,Legal,Leadership,5,12.7,Yes,No,New York,Yes,No,No,96920
10172,26,Male,Black,Marketing,Leadership,1,19.4,No,Yes,Austin,No,No,No,285785
10173,44,Female,Black,HR,Engineer,3,17.1,No,No,Los Angeles,Yes,No,Yes,245809
10174,27,Male,Hispanic,Legal,Analyst,3,7.3,No,Yes,Houston,No,No,No,147056
10175,27,Male,Asian,Engineering,Engineer,1,8.0,Yes,No,Los Angeles,No,No,Yes,266673
10176,59,Male,Asian,HR,Engineer,2,10.7,No,No,Chicago,Yes,No,Yes,171049
10177,49,Male,Black,Legal,Analyst,3,8.2,No,Yes,Austin,No,No,Yes,210351
10178,54,Female,Asian,Engineering,Specialist,4,16.7,Yes,Yes,Atlanta,No,No,Yes,199265
10179,36,Female,Black,HR,Engineer,3,4.4,No,Yes,Chicago,No,Yes,Yes,107468
10180,44,Male,Indian,Sales,Analyst,5,6.8,Yes,Yes,Austin,Yes,No,Yes,183038
10181,55,Male,Asian,Engineering,Leadership,3,11.7,Yes,Yes,New York,Yes,Yes,No,127104
10182,40,Female,White,Engineering,Manager,3,1.1,No,No,Atlanta,No,Yes,No,181799
10183,59,Female,Indian,Engineering,Specialist,5,10.4,No,Yes,Houston,Yes,Yes,Yes,177148
10184,28,Male,Indian,Marketing,Engineer,3,1.3,No,Yes,New York,Yes,No,Yes,123629
10185,55,Female,Indian,Engineering,Manager,3,11.4,Yes,No,Atlanta,No,Yes,Yes,204531
10186,23,Female,Black,Finance,Manager,2,1.9,No,No,Austin,No,No,No,238042
10187,44,Male,White,HR,Manager,5,12.9,No,Yes,Austin,Yes,Yes,No,229589
10188,37,Female,Indian,Finance,Manager,2,19.8,No,No,Houston,Yes,Yes,No,109134
10189,54,Female,Black,Finance,Leadership,5,15.5,No,No,Chicago,Yes,No,Yes,193370
10190,54,Female,Black,HR,Engineer,4,14.1,Yes,Yes,New York,No,No,Yes,258946
10191,25,Female,Indian,Legal,Leadership,4,19.1,Yes,Yes,Chicago,No,Yes,Yes,249584
10192,46,Female,Black,HR,Leadership,3,18.6,Yes,Yes,Chicago,Yes,Yes,Yes,276926
10193,30,Male,Black,HR,Analyst,5,13.9,No,No,Atlanta,Yes,No,Yes,182944
10194,63,Male,White,Marketing,Analyst,5,19.2,No,No,Chicago,No,No,No,203441
10195,29,Female,Black,Sales,Specialist,5,15.6,No,No,New York,Yes,Yes,Yes,253374
10196,60,Male,Black,Legal,Leadership,4,17.9,No,No,Los Angeles,Yes,No,No,240683
10197,63,Male,Indian,Engineering,Engineer,5,10.3,No,No,Chicago,Yes,No,No,223657
10198,53,Female,Black,HR,Engineer,4,4.5,Yes,Yes,New York,No,Yes,Yes,199038
10199,56,Male,Asian,HR,Manager,5,6.6,No,Yes,Houston,Yes,No,No,263544
10200,62,Female,Black,Marketing,Leadership,3,15.1,No,No,New York,No,No,Yes,186510
10201,38,Female,White,Engineering,Manager,3,12.0,Yes,No,Atlanta,No,Yes,No,257997
10202,23,Male,Indian,Sales,Analyst,5,13.5,Yes,No,Chicago,No,Yes,Yes,200270
10203,45,Male,Hispanic,Sales,Specialist,3,14.7,No,No,Houston,Yes,Yes,No,210377
10204,40,Female,White,Marketing,Engineer,5,1.9,No,No,Austin,No,Yes,Yes,128234
10205,48,Male,Indian,Sales,Manager,3,15.2,Yes,Yes,Houston,Yes,Yes,Yes,252349
10206,60,Female,Black,Finance,Engineer,2,8.0,Yes,No,Chicago,No,Yes,No,208499
10207,63,Male,Black,Sales,Specialist,2,6.0,Yes,Yes,Austin,Yes,No,Yes,127310
10208,37,Male,Indian,Sales,Analyst,3,13.6,Yes,No,Houston,Yes,No,No,210962
10209,41,Male,White,Finance,Manager,1,18.5,Yes,No,Atlanta,Yes,No,Yes,154021
10210,22,Female,Indian,Legal,Engineer,1,10.6,No,No,New York,Yes,No,No,124924
10211,45,Male,White,HR,Analyst,2,17.5,Yes,Yes,Los Angeles,Yes,No,No,182662
10212,59,Female,Hispanic,Sales,Specialist,4,13.2,Yes,No,Houston,No,No,Yes,141575
10213,35,Male,White,HR,Manager,5,7.9,Yes,Yes,Atlanta,No,Yes,No,246025
10214,34,Male,Black,Finance,Specialist,2,10.4,No,No,New York,No,No,Yes,186413
10215,44,Male,Black,Finance,Analyst,1,15.0,No,Yes,Austin,No,No,No,238778
10216,36,Male,Hispanic,Engineering,Specialist,2,14.8,Yes,No,Houston,No,Yes,No,178610
10217,34,Female,Indian,Legal,Manager,3,2.2,Yes,No,Chicago,No,No,No,277074
10218,49,Female,Hispanic,Legal,Engineer,5,11.9,No,No,Houston,No,No,Yes,167873
10219,38,Female,Indian,Engineering,Specialist,5,9.6,Yes,Yes,Atlanta,Yes,Yes,Yes,274794
10220,47,Male,Asian,Finance,Specialist,1,13.9,No,Yes,New York,Yes,Yes,No,130327
10221,57,Female,Black,Marketing,Analyst,3,17.7,No,No,Austin,Yes,Yes,No,121968
10222,33,Female,White,Finance,Manager,2,1.5,No,No,Austin,Yes,No,Yes,204115
10223,32,Female,Indian,Sales,Engineer,5,9.6,No,Yes,Chicago,No,Yes,Yes,261396
10224,35,Male,Indian,Sales,Analyst,3,5.1,Yes,No,Houston,No,No,No,101144
10225,49,Male,Indian,Sales,Analyst,2,9.3,No,No,Houston,No,Yes,No,130180
10226,55,Female,Black,Engineering,Leadership,4,3.9,Yes,Yes,Los Angeles,No,No,No,179943
10227,48,Male,Indian,Finance,Manager,3,7.7,Yes,No,New York,No,No,Yes,179196
10228,64,Female,Black,Legal,Leadership,5,9.9,Yes,Yes,Chicago,No,Yes,Yes,258223
10229,32,Female,White,Legal,Engineer,5,17.2,No,No,New York,No,No,Yes,279239
10230,55,Female,White,Finance,Specialist,1,8.2,Yes,Yes,Atlanta,No,No,No,155779
10231,41,Male,Hispanic,HR,Manager,5,1.4,No,Yes,New York,Yes,Yes,Yes,272352
10232,28,Female,Indian,Marketing,Leadership,1,8.3,Yes,No,Los Angeles,Yes,No,No,244626
10233,56,Female,Hispanic,Sales,Manager,2,18.9,Yes,No,Chicago,No,Yes,Yes,216603
10234,46,Male,Indian,Finance,Manager,2,1.5,Yes,Yes,Chicago,Yes,No,Yes,143157
10235,54,Male,Asian,Finance,Engineer,1,9.2,Yes,Yes,Houston,Yes,Yes,Yes,161938
10236,61,Male,Indian,Finance,Specialist,2,12.1,No,No,New York,No,No,Yes,170046
10237,39,Male,Asian,Marketing,Specialist,5,5.0,No,Yes,New York,Yes,Yes,No,258855
10238,61,Male,Hispanic,Legal,Analyst,3,19.5,No,No,New York,No,No,Yes,271704
10239,55,Male,Black,Legal,Manager,1,8.4,Yes,Yes,Houston,Yes,Yes,No,141077
10240,46,Female,White,Finance,Analyst,3,13.7,Yes,No,Los Angeles,No,Yes,Yes,111440
10241,48,Male,White,Engineering,Manager,1,6.4,Yes,No,Austin,No,No,Yes,209256
10242,39,Male,Hispanic,Legal,Analyst,3,14.8,No,No,New York,No,No,Yes,123212
10243,56,Male,Hispanic,HR,Manager,4,7.7,Yes,No,Houston,Yes,Yes,No,210468
10244,53,Female,White,Finance,Specialist,3,17.4,No,No,Chicago,No,Yes,Yes,134612
10245,64,Male,Asian,Marketing,Leadership,2,7.9,Yes,Yes,New York,No,Yes,No,276926
10246,44,Female,Asian,Sales,Engineer,4,12.2,No,Yes,Austin,No,Yes,Yes,104125
10247,32,Female,Asian,Legal,Engineer,5,13.3,Yes,Yes,Houston,Yes,No,No,268940
10248,30,Female,Asian,HR,Specialist,2,14.9,Yes,No,Los Angeles,No,No,No,217613
10249,39,Male,Black,Engineering,Engineer,2,15.1,No,Yes,Chicago,No,Yes,No,108507
10250,41,Male,Asian,Finance,Manager,3,18.7,No,Yes,Chicago,No,Yes,Yes,191179
10251,64,Male,Indian,Engineering,Analyst,2,2.4,No,Yes,Austin,Yes,No,No,178751
10252,47,Male,White,Legal,Specialist,4,16.0,Yes,Yes,Houston,No,No,No,93944
10253,24,Female,White,HR,Manager,1,15.2,No,Yes,New York,No,Yes,No,255756
10254,60,Male,Asian,Engineering,Engineer,4,13.7,No,No,Chicago,Yes,Yes,No,208153
10255,58,Male,White,Sales,Analyst,5,15.6,No,No,Houston,Yes,Yes,Yes,132107
10256,58,Male,Indian,Engineering,Analyst,4,12.2,No,No,Los Angeles,No,Yes,No,269529
10257,33,Female,Indian,Legal,Engineer,4,19.6,No,No,New York,Yes,Yes,No,119083
10258,27,Female,White,Engineering,Specialist,2,10.0,No,No,Chicago,No,No,No,113089
10259,40,Male,Asian,Finance,Engineer,1,17.2,No,Yes,Austin,Yes,Yes,No,255565
10260,35,Male,White,HR,Specialist,1,8.6,Yes,No,Austin,Yes,Yes,Yes,166372
10261,26,Female,Asian,Marketing,Analyst,3,18.9,Yes,No,Los Angeles,Yes,Yes,No,230051
10262,46,Female,Black,Sales,Leadership,1,8.1,No,No,Austin,Yes,No,No,114385
10263,28,Male,Indian,Legal,Engineer,4,19.1,No,Yes,Austin,Yes,Yes,Yes,242168
10264,57,Female,Hispanic,HR,Specialist,3,6.2,No,No,Austin,Yes,No,No,115910
10265,42,Male,Indian,Finance,Analyst,5,5.3,Yes,No,Houston,No,Yes,No,281432
10266,32,Male,Asian,Finance,Specialist,5,12.2,Yes,Yes,Austin,No,Yes,Yes,243143
10267,39,Male,White,Finance,Specialist,1,17.5,No,Yes,Los Angeles,No,Yes,Yes,146192
10268,36,Male,Hispanic,Legal,Manager,3,14.7,No,No,Austin,No,Yes,No,146644
10269,47,Male,Hispanic,Marketing,Leadership,4,11.5,Yes,No,Houston,No,Yes,Yes,221666
10270,46,Male,Asian,Sales,Leadership,2,19.0,No,No,Houston,No,Yes,Yes,120817
10271,40,Female,White,Legal,Analyst,5,5.9,No,Yes,Chicago,No,No,Yes,129131
10272,23,Female,White,HR,Specialist,3,12.3,No,Yes,Houston,Yes,Yes,Yes,255954
10273,26,Male,White,HR,Manager,5,5.9,No,No,Los Angeles,Yes,No,Yes,155518
10274,39,Female,Asian,Legal,Analyst,3,3.3,No,Yes,Austin,Yes,No,Yes,202721
10275,56,Female,Black,Engineering,Manager,5,10.4,Yes,No,Houston,Yes,Yes,No,281633
10276,38,Female,White,Finance,Manager,4,11.6,No,No,Houston,Yes,No,No,93068
10277,53,Female,White,Marketing,Engineer,4,4.1,Yes,No,Atlanta,Yes,No,Yes,176456
10278,42,Female,Black,Marketing,Specialist,4,18.0,No,No,New York,Yes,No,Yes,132513
10279,57,Female,Hispanic,HR,Engineer,2,4.1,No,Yes,Los Angeles,No,No,Yes,89570
10280,49,Female,Indian,Sales,Leadership,5,13.3,No,Yes,Chicago,Yes,No,No,241206
10281,28,Female,Asian,Marketing,Specialist,3,19.7,No,No,Atlanta,No,No,Yes,155831
10282,40,Female,Hispanic,Sales,Leadership,3,19.4,No,Yes,Houston,No,Yes,No,227247
10283,27,Male,Hispanic,Finance,Specialist,2,18.9,Yes,Yes,Houston,Yes,No,No,281418
10284,22,Male,Hispanic,Legal,Manager,1,11.2,Yes,Yes,Chicago,No,No,No,114306
10285,57,Male,Black,Engineering,Specialist,1,17.8,Yes,Yes,Austin,No,Yes,No,97335
10286,38,Male,Asian,Marketing,Specialist,3,17.4,Yes,Yes,Atlanta,No,No,Yes,159083
10287,41,Female,Black,Sales,Analyst,4,12.4,No,No,New York,No,Yes,No,257987
10288,55,Female,White,Legal,Manager,3,6.8,No,Yes,Houston,No,Yes,Yes,95230
10289,39,Male,Asian,Sales,Manager,2,3.5,Yes,No,Houston,No,Yes,No,187527
10290,23,Female,Asian,Legal,Manager,5,7.8,Yes,No,New York,Yes,No,Yes,187512
10291,28,Male,Black,Legal,Leadership,5,6.8,Yes,No,Austin,Yes,Yes,Yes,245750
